days since jan 2012,pressure (kPa)
1.44841,1291.76
5.06944,1312.94
10.8631,1334.12
13.7599,1567.06
21.0020,1651.76
32.5893,1778.82
37.6587,1905.88
42.7282,2075.29
49.2460,2181.18
61.5575,2308.24
63.7302,1905.88
67.3512,1588.24
70.2480,1334.12
76.0417,1143.53
82.5595,889.412
89.8016,656.471
99.9405,508.235
109.355,381.176
115.149,381.176
120.942,423.529
126.012,614.118
126.736,804.706
132.530,1122.35
138.323,1376.47
140.496,1524.71
147.738,1588.24
160.050,1630.59
162.222,1355.29
168.016,1164.71
175.258,910.588
183.948,741.176
196.260,656.471
208.571,529.412
213.641,529.412
221.607,614.118
225.952,974.118
225.952,1461.18
231.022,1884.71
237.540,1990.59
246.954,2075.29
259.990,2181.18
267.956,2202.35
271.577,1863.53
278.095,1397.65
289.683,1058.82
304.891,868.235
322.996,762.353
340.377,635.294
359.206,571.765
375.139,402.353
391.796,338.824
407.728,296.471
422.936,317.647
428.730,423.529
432.351,1122.35
433.075,1461.18
442.490,1927.06
445.387,1757.65
454.077,1969.41
462.768,2138.82
474.355,2350.59
487.391,2498.82
498.254,2625.88
511.290,2731.76
514.187,2477.65
518.532,2117.65
524.325,1821.18
530.843,1524.71
535.913,1122.35
542.431,1101.18
551.121,1101.18
563.433,1101.18
572.123,1122.35
576.468,1037.65
