"temperature (degC)(days since jun 2012), created by Plot Digitizer, 2.6.8"
"Date: 6/19/20, 2:55:13 PM"


43
days since jun 2012,temperature (degC)
13.4356,91.9075,
17.3543,79.7688,
25.7515,86.7052,
29.6702,185.549,
40.8666,208.092,
46.4647,211.561,
49.2638,227.168,
63.2592,223.699,
68.8574,220.231,
71.0966,156.069,
76.1350,149.133,
82.2929,131.792,
89.5705,117.919,
97.4080,110.983,
105.245,107.514,
112.523,100.578,
120.920,93.6416,
130.997,86.7052,
138.834,81.5029,
142.193,81.5029,
144.433,189.017,
150.031,201.156,
160.107,206.358,
171.304,209.827,
181.940,215.029,
186.979,204.624,
190.337,166.474,
197.615,154.335,
208.252,143.931,
217.768,138.728,
225.046,135.260,
234.003,133.526,
247.998,131.792,
260.874,121.387,
275.989,117.919,
290.544,112.717,
302.860,105.780,
313.497,98.8439,
326.373,97.1098,
334.770,93.6416,
351.005,95.3757,
365,93.6416,
372.278,86.7052,
