"water rate (m^3/d)(days since jun 2012), created by Plot Digitizer, 2.6.8"
"Date: 6/19/20, 2:58:57 PM"


41
days since jun 2012,water rate (m^3/d)
30.2301,4.36047,
67.7377,0,
70.5368,87.2093,
75.5752,39.2442,
80.0537,74.1279,
86.7715,139.535,
91.8098,196.221,
99.0874,200.581,
104.126,270.349,
109.724,296.512,
112.523,331.395,
117.002,401.163,
121.480,287.791,
123.160,135.174,
125.399,0,
141.633,4.36047,
189.218,4.36047,
197.615,26.1628,
209.931,43.6047,
216.649,47.9651,
221.687,104.651,
227.285,87.2093,
235.123,91.5698,
242.400,204.942,
250.798,244.186,
258.635,200.581,
266.472,235.465,
279.348,235.465,
285.506,4.36047,
291.104,170.058,
298.382,427.326,
303.420,549.419,
312.377,545.058,
319.095,309.593,
324.133,122.093,
331.971,584.302,
337.569,361.919,
343.727,283.430,
360.521,287.791,
363.321,218.023,
365.560,13.0814,
